user,email_count,recipient_count,external_count,late_night_count,weekend_count,external_ratio,late_night_ratio,weekend_ratio,email_spike,login_count,late_logins,weekend_logins,after_hours_logins,failed_logins,late_login_ratio,weekend_login_ratio,after_hours_ratio,login_spike,file_access_count,file_copy_count,sensitive_file_access,after_hours_file_access,weekend_file_access,copy_ratio,sensitive_ratio,after_hours_file_ratio,file_spike,device_activity_count,usb_insertions,unknown_device_count,after_hours_device_usage,weekend_device_usage,usb_ratio,unknown_device_ratio,after_hours_device_ratio,device_spike,label
AAF0535,2.962962962962963,189.0,0,0.0,0,0.3329177057356609,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,357.0,357.0,296.0,0.0,0,1,0.8268156424581006,0.0,0,2.232258064516129,2.232258064516129,0,0.0,0,0.6906187624750499,0.0,0.0,0,0
AAM0658,2.9419642857142856,174.0,1,146.0,0,0.4282982791586998,37.037372593431485,0,0,6.0,5.0,1.0,5.0,0,0.7142857142857143,0.14285714285714285,0.7142857142857143,0,31.0,31.0,23.0,31.0,0,1,0.71875,1.0,0,1.4,1.4,0,6.0,0,0.5833333333333334,0.0,2.5,0,0
ABC0174,14.418367346938776,682.0,7,0.0,0,0.4946543121881682,0.0,0,0,83.0,0.0,83.0,0.0,0,0.0,0.9880952380952381,0.0,0,589.0,589.0,492.0,0.0,0,1,0.8338983050847457,0.0,0,2.276595744680851,2.276595744680851,0,0.0,0,0.6948051948051948,0.0,0.0,0,0
AHD0848,1.0162162162162165,142.0,0,22.0,0,0.3542673107890499,10.911528150134046,0,0,61.0,6.0,55.0,6.0,0,0.0967741935483871,0.8870967741935484,0.0967741935483871,0,199.0,199.0,162.0,10.999999999999993,0,1,0.81,0.0552763819095477,0,1.327433628318584,1.327433628318584,0,2.0,0,0.5703422053231939,0.0,0.8593155893536122,0,0
AHM0410,8.726495726495726,546.0,2,0.0,0,0.2980368828078524,0.0,0,0,6.0,0.0,6.0,0.0,0,0.0,0.8571428571428571,0.0,0,2198.0,2198.0,1857.0,0.0,0,1,0.844474761255116,0.0,0,1.5390625,1.5390625,0,0.0,0,0.6061538461538462,0.0,0.0,0,0
AIB0948,1.0,146.0,0,0.0,0,0.4365942028985507,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1669.0,1669.0,1411.0,0.0,0,1,0.8449101796407186,0.0,0,8.641618497109826,8.641618497109826,0,0.0,0,0.8962829736211031,0.0,0.0,1,0
AIP0982,9.674418604651162,554.0,3,0.0,0,0.3692697952527631,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6182.0,6182.0,5183.0,0.0,0,1,0.8382662138120653,0.0,1,1.525,1.525,0,0.0,0,0.6039603960396039,0.0,0.0,0,0
AJD0074,9.795336787564766,595.0,4,0.0,0,0.4578059071729958,0.0,0,0,74.0,0.0,74.0,0.0,0,0.0,0.9866666666666667,0.0,0,515.0,515.0,439.0,0.0,0,1,0.8507751937984496,0.0,0,1.271186440677966,1.271186440677966,0,0.0,0,0.5597014925373134,0.0,0.0,0,0
AJF0370,10.528150134048255,634.0,5,0.0,0,0.5124786854751201,0.0,0,0,818.04,741.04,77.0,741.04,0,0.9047665559679625,0.09401250244188318,0.9047665559679625,1,8468.56,8468.56,7088.679999999999,1509.3696914864743,0,1,0.8369596531578972,0.1782321541662897,1,8.641647398843931,8.641647398843931,0,365.2899999999997,0,0.8962832845225284,0.0,37.88667899676556,1,1
AJH0175,14.465116279069768,756.0,6,0.0,0,0.4430023264356557,0.0,0,0,49.0,49.0,0.0,49.0,0,0.98,0.0,0.98,0,236.0,236.0,193.0,0.0,0,1,0.8143459915611815,0.0,0,1.3032786885245902,1.3032786885245902,0,0.0,0,0.5658362989323844,0.0,0.0,0,0
